Tweet,Sarcasm (yes/no)
writers are truly inspiring.,no
Had a great time with writers.,no
Nothing better than a the workshop moment.,yes
"Oh great, another doctors. Just what I needed.",yes
the meal have always been great.,no
"scientists are so wonderful, said no one ever.",yes
the meal are truly inspiring.,no
athletes are genuinely amazing.,no
my new phone have always been great.,no
"Everyone loves writers, right?",yes
Can't wait for more of doctors.,yes
Can't wait for more of artists.,yes
Can't wait for more of engineers.,yes
"Had a athletes, best experience ever. Not.",yes
Because the conference really make everything better.,yes
Can't wait for more of this book.,yes
Nothing better than a athletes moment.,yes
I am always excited for this book.,no
I just love when artists happens.,yes
"Had a the conference, best experience ever. Not.",yes
"musicians are so wonderful, said no one ever.",yes
I find scientists to be wonderful.,no
Can't wait for more of this movie.,yes
artists have always been great.,no
I genuinely love the meal.,no
I just love when doctors happens.,yes
"Everyone loves writers, right?",yes
I just love when my new phone happens.,yes
scientists are truly inspiring.,no
I genuinely love musicians.,no
the meal are genuinely amazing.,no
"scientists are so wonderful, said no one ever.",yes
Had a great time with athletes.,no
Can't wait for more of writers.,no
Can't wait for more of doctors.,no
I genuinely love the meal.,no
"Had a the game, best experience ever. Not.",yes
"Oh great, another the meal. Just what I needed.",yes
artists have always been great.,no
"Everyone loves this movie, right?",yes
my new phone are genuinely amazing.,no
artists have always been great.,no
Can't wait for more of the game.,yes
I am always excited for the concert.,no
I am always excited for athletes.,no
I just love when doctors happens.,yes
athletes are truly inspiring.,no
I genuinely love doctors.,no
"Everyone loves the meal, right?",yes
"Oh great, another engineers. Just what I needed.",yes
Can't wait for more of vegetarians.,no
I just love when engineers happens.,yes
Because vegetarians really make everything better.,yes
"Had a scientists, best experience ever. Not.",yes
Can't wait for more of the game.,yes
I find this book to be wonderful.,no
I genuinely love engineers.,no
the conference are truly inspiring.,no
I just love when the game happens.,yes
Can't wait for more of the workshop.,yes
the conference are truly inspiring.,no
"Oh great, another the concert. Just what I needed.",yes
Nothing better than a writers moment.,yes
Had a great time with athletes.,no
Nothing better than a scientists moment.,yes
"the meal are so wonderful, said no one ever.",yes
I find the conference to be wonderful.,no
doctors are truly inspiring.,no
"Everyone loves this movie, right?",yes
I find this movie to be wonderful.,no
I just love when engineers happens.,yes
Can't wait for more of athletes.,yes
Nothing better than a engineers moment.,yes
"Everyone loves the concert, right?",yes
Can't wait for more of engineers.,no
Because the workshop really make everything better.,yes
Can't wait for more of the game.,yes
Because the workshop really make everything better.,yes
Can't wait for more of the conference.,no
the concert are genuinely amazing.,no
Had a great time with athletes.,no
artists are truly inspiring.,no
Because the workshop really make everything better.,yes
Can't wait for more of musicians.,yes
Can't wait for more of doctors.,yes
"Had a the workshop, best experience ever. Not.",yes
I find doctors to be wonderful.,no
Nothing better than a the concert moment.,yes
I just love when my new phone happens.,yes
the workshop have always been great.,no
"Everyone loves engineers, right?",yes
Can't wait for more of vegetarians.,no
the concert have always been great.,no
Because the concert really make everything better.,yes
"athletes are so wonderful, said no one ever.",yes
I just love when athletes happens.,yes
"Had a writers, best experience ever. Not.",yes
Because the concert really make everything better.,yes
I genuinely love engineers.,no
Had a great time with the workshop.,no
Because this movie really make everything better.,yes
I genuinely love artists.,no
I just love when engineers happens.,yes
"Had a engineers, best experience ever. Not.",yes
Because the workshop really make everything better.,yes
this book are truly inspiring.,no
"Oh great, another the game. Just what I needed.",yes
I am always excited for athletes.,no
I genuinely love scientists.,no
I genuinely love the conference.,no
Nothing better than a this book moment.,yes
Because artists really make everything better.,yes
Nothing better than a my new phone moment.,yes
the game are genuinely amazing.,no
musicians have always been great.,no
I find this book to be wonderful.,no
Nothing better than a this movie moment.,yes
"Everyone loves the concert, right?",yes
"the workshop are so wonderful, said no one ever.",yes
Can't wait for more of the concert.,no
Nothing better than a this book moment.,yes
Nothing better than a scientists moment.,yes
I am always excited for my new phone.,no
I genuinely love this movie.,no
"Everyone loves doctors, right?",yes
"Had a artists, best experience ever. Not.",yes
"Had a the workshop, best experience ever. Not.",yes
"Oh great, another the meal. Just what I needed.",yes
Can't wait for more of the conference.,yes
Can't wait for more of musicians.,yes
"Had a the concert, best experience ever. Not.",yes
"Oh great, another musicians. Just what I needed.",yes
I just love when my new phone happens.,yes
"doctors are so wonderful, said no one ever.",yes
I genuinely love this book.,no
"Had a engineers, best experience ever. Not.",yes
I just love when the game happens.,yes
Can't wait for more of vegetarians.,no
"Everyone loves my new phone, right?",yes
"the meal are so wonderful, said no one ever.",yes
I am always excited for the game.,no
Had a great time with artists.,no
"the game are so wonderful, said no one ever.",yes
Had a great time with the conference.,no
"Oh great, another this movie. Just what I needed.",yes
Nothing better than a the concert moment.,yes
I genuinely love engineers.,no
writers are genuinely amazing.,no
"Had a my new phone, best experience ever. Not.",yes
artists are genuinely amazing.,no
I am always excited for the game.,no
Can't wait for more of musicians.,yes
"Oh great, another athletes. Just what I needed.",yes
I find the concert to be wonderful.,no
Nothing better than a doctors moment.,yes
I just love when the conference happens.,yes
"artists are so wonderful, said no one ever.",yes
I am always excited for engineers.,no
the meal are genuinely amazing.,no
"vegetarians are so wonderful, said no one ever.",yes
I genuinely love the game.,no
athletes are genuinely amazing.,no
"vegetarians are so wonderful, said no one ever.",yes
Can't wait for more of scientists.,no
"this movie are so wonderful, said no one ever.",yes
I just love when musicians happens.,yes
artists are truly inspiring.,no
I find artists to be wonderful.,no
writers are genuinely amazing.,no
I genuinely love writers.,no
Had a great time with the conference.,no
Can't wait for more of writers.,no
Can't wait for more of vegetarians.,no
I find this book to be wonderful.,no
Because this book really make everything better.,yes
"artists are so wonderful, said no one ever.",yes
Can't wait for more of this book.,no
Because artists really make everything better.,yes
my new phone are truly inspiring.,no
"Had a the workshop, best experience ever. Not.",yes
Can't wait for more of the workshop.,no
I am always excited for musicians.,no
Can't wait for more of artists.,no
musicians are genuinely amazing.,no
I genuinely love the concert.,no
Because the workshop really make everything better.,yes
I just love when the conference happens.,yes
Nothing better than a the workshop moment.,yes
"Had a athletes, best experience ever. Not.",yes
I genuinely love this movie.,no
"Everyone loves engineers, right?",yes
"vegetarians are so wonderful, said no one ever.",yes
I just love when doctors happens.,yes
doctors are truly inspiring.,no
Because this book really make everything better.,yes
Because this movie really make everything better.,yes
Can't wait for more of my new phone.,no
my new phone are truly inspiring.,no
my new phone have always been great.,no
Had a great time with this movie.,no
Had a great time with writers.,no
Can't wait for more of doctors.,yes
"Had a engineers, best experience ever. Not.",yes
Because this movie really make everything better.,yes
scientists are truly inspiring.,no
musicians are genuinely amazing.,no
I genuinely love musicians.,no
Can't wait for more of vegetarians.,yes
I just love when athletes happens.,yes
"Oh great, another artists. Just what I needed.",yes
Had a great time with writers.,no
Nothing better than a vegetarians moment.,yes
engineers are truly inspiring.,no
I find the conference to be wonderful.,no
I just love when musicians happens.,yes
athletes are truly inspiring.,no
I just love when musicians happens.,yes
I just love when this book happens.,yes
Had a great time with musicians.,no
I am always excited for the meal.,no
I find doctors to be wonderful.,no
"Oh great, another artists. Just what I needed.",yes
scientists are truly inspiring.,no
"Had a the game, best experience ever. Not.",yes
I genuinely love the workshop.,no
Can't wait for more of the concert.,no
the conference are genuinely amazing.,no
"Oh great, another athletes. Just what I needed.",yes
"Oh great, another the concert. Just what I needed.",yes
I am always excited for my new phone.,no
I am always excited for doctors.,no
Nothing better than a writers moment.,yes
Can't wait for more of athletes.,yes
Because the concert really make everything better.,yes
Had a great time with vegetarians.,no
Can't wait for more of this book.,yes
"Had a the meal, best experience ever. Not.",yes
"Had a the concert, best experience ever. Not.",yes
Had a great time with the workshop.,no
scientists are genuinely amazing.,no
"the concert are so wonderful, said no one ever.",yes
"Everyone loves the concert, right?",yes
I find the concert to be wonderful.,no
"Had a the meal, best experience ever. Not.",yes
I am always excited for the workshop.,no
writers are genuinely amazing.,no
engineers are truly inspiring.,no
the game are truly inspiring.,no
I am always excited for vegetarians.,no
Can't wait for more of doctors.,no
I genuinely love doctors.,no
"Everyone loves musicians, right?",yes
"Everyone loves scientists, right?",yes
Can't wait for more of writers.,yes
artists have always been great.,no
"vegetarians are so wonderful, said no one ever.",yes
"Had a the concert, best experience ever. Not.",yes
the concert are genuinely amazing.,no
I just love when doctors happens.,yes
Can't wait for more of the concert.,yes
engineers have always been great.,no
Had a great time with athletes.,no
I am always excited for writers.,no
Had a great time with musicians.,no
I am always excited for athletes.,no
"Everyone loves the game, right?",yes
"Everyone loves athletes, right?",yes
scientists are genuinely amazing.,no
Can't wait for more of the game.,no
Had a great time with this movie.,no
this movie have always been great.,no
Had a great time with engineers.,no
vegetarians are truly inspiring.,no
my new phone have always been great.,no
scientists are genuinely amazing.,no
I genuinely love musicians.,no
Can't wait for more of engineers.,no
I genuinely love the conference.,no
Can't wait for more of the workshop.,no
Can't wait for more of this book.,yes
Because musicians really make everything better.,yes
"Everyone loves the workshop, right?",yes
"Oh great, another vegetarians. Just what I needed.",yes
Can't wait for more of my new phone.,yes
scientists are genuinely amazing.,no
I am always excited for writers.,no
I am always excited for the meal.,no
Can't wait for more of engineers.,yes
my new phone have always been great.,no
Can't wait for more of engineers.,yes
Can't wait for more of vegetarians.,yes
"Oh great, another vegetarians. Just what I needed.",yes
this movie have always been great.,no
vegetarians have always been great.,no
Nothing better than a vegetarians moment.,yes
I find musicians to be wonderful.,no
Can't wait for more of my new phone.,yes
doctors are truly inspiring.,no
musicians are truly inspiring.,no
I am always excited for this book.,no
I am always excited for athletes.,no
vegetarians are genuinely amazing.,no
musicians are truly inspiring.,no
the game are truly inspiring.,no
I find the game to be wonderful.,no
"Had a the concert, best experience ever. Not.",yes
I genuinely love my new phone.,no
Nothing better than a doctors moment.,yes
musicians are truly inspiring.,no
my new phone have always been great.,no
I genuinely love musicians.,no
Because scientists really make everything better.,yes
"artists are so wonderful, said no one ever.",yes
I genuinely love doctors.,no
Can't wait for more of musicians.,yes
"Everyone loves the concert, right?",yes
I just love when artists happens.,yes
Because artists really make everything better.,yes
Had a great time with vegetarians.,no
I genuinely love the conference.,no
the game are genuinely amazing.,no
Had a great time with vegetarians.,no
I am always excited for musicians.,no
"Oh great, another the concert. Just what I needed.",yes
Can't wait for more of musicians.,yes
engineers have always been great.,no
"Everyone loves the concert, right?",yes
my new phone have always been great.,no
Nothing better than a musicians moment.,yes
"musicians are so wonderful, said no one ever.",yes
athletes are truly inspiring.,no
the game are genuinely amazing.,no
musicians have always been great.,no
I am always excited for doctors.,no
"Everyone loves artists, right?",yes
Because engineers really make everything better.,yes
I am always excited for musicians.,no
Because the meal really make everything better.,yes
"this book are so wonderful, said no one ever.",yes
Because the meal really make everything better.,yes
Because vegetarians really make everything better.,yes
"Everyone loves my new phone, right?",yes
Can't wait for more of musicians.,yes
Can't wait for more of doctors.,no
I find the game to be wonderful.,no
the concert are truly inspiring.,no
"Everyone loves engineers, right?",yes
"Oh great, another this book. Just what I needed.",yes
Can't wait for more of the conference.,no
Can't wait for more of musicians.,yes
"the meal are so wonderful, said no one ever.",yes
"Had a my new phone, best experience ever. Not.",yes
I just love when artists happens.,yes
this book are genuinely amazing.,no
I find my new phone to be wonderful.,no
Nothing better than a my new phone moment.,yes
I find vegetarians to be wonderful.,no
this movie are truly inspiring.,no
"Everyone loves scientists, right?",yes
I find musicians to be wonderful.,no
the workshop have always been great.,no
vegetarians are truly inspiring.,no
I am always excited for this book.,no
"Oh great, another vegetarians. Just what I needed.",yes
I just love when the workshop happens.,yes
Had a great time with scientists.,no
I find scientists to be wonderful.,no
vegetarians are truly inspiring.,no
I am always excited for the workshop.,no
"Oh great, another writers. Just what I needed.",yes
"Had a athletes, best experience ever. Not.",yes
Nothing better than a engineers moment.,yes
the game have always been great.,no
I just love when the conference happens.,yes
Nothing better than a engineers moment.,yes
"writers are so wonderful, said no one ever.",yes
I am always excited for athletes.,no
I am always excited for writers.,no
Because engineers really make everything better.,yes
Nothing better than a musicians moment.,yes
Because the game really make everything better.,yes
I find the workshop to be wonderful.,no
Because athletes really make everything better.,yes
"Everyone loves the meal, right?",yes
Had a great time with doctors.,no
"Oh great, another my new phone. Just what I needed.",yes
I am always excited for doctors.,no
"this book are so wonderful, said no one ever.",yes
doctors are genuinely amazing.,no
Had a great time with vegetarians.,no
Can't wait for more of the concert.,yes
"Had a engineers, best experience ever. Not.",yes
"Had a the concert, best experience ever. Not.",yes
Can't wait for more of the conference.,yes
I am always excited for musicians.,no
Can't wait for more of engineers.,no
Had a great time with the conference.,no
Can't wait for more of doctors.,yes
"Oh great, another scientists. Just what I needed.",yes
musicians are truly inspiring.,no
"Oh great, another artists. Just what I needed.",yes
I genuinely love writers.,no
the concert are genuinely amazing.,no
"Oh great, another the meal. Just what I needed.",yes
"Oh great, another writers. Just what I needed.",yes
Nothing better than a the concert moment.,yes
"Had a writers, best experience ever. Not.",yes
"Everyone loves writers, right?",yes
athletes are genuinely amazing.,no
"Had a doctors, best experience ever. Not.",yes
"Everyone loves the conference, right?",yes
"Oh great, another the game. Just what I needed.",yes
"this book are so wonderful, said no one ever.",yes
I genuinely love scientists.,no
"Oh great, another athletes. Just what I needed.",yes
Had a great time with the concert.,no
scientists are genuinely amazing.,no
"Had a the meal, best experience ever. Not.",yes
Can't wait for more of the conference.,no
the workshop are truly inspiring.,no
I genuinely love the meal.,no
"doctors are so wonderful, said no one ever.",yes
my new phone are genuinely amazing.,no
I am always excited for artists.,no
I just love when the conference happens.,yes
"the meal are so wonderful, said no one ever.",yes
"Had a vegetarians, best experience ever. Not.",yes
I just love when this movie happens.,yes
"Oh great, another scientists. Just what I needed.",yes
Nothing better than a the meal moment.,yes
Because the meal really make everything better.,yes
musicians have always been great.,no
Had a great time with my new phone.,no
artists have always been great.,no
I am always excited for the conference.,no
vegetarians are genuinely amazing.,no
Can't wait for more of doctors.,yes
I genuinely love the conference.,no
"the concert are so wonderful, said no one ever.",yes
I just love when the meal happens.,yes
doctors have always been great.,no
I genuinely love athletes.,no
Can't wait for more of the concert.,yes
I genuinely love the game.,no
Can't wait for more of this movie.,no
doctors have always been great.,no
"Had a doctors, best experience ever. Not.",yes
Can't wait for more of doctors.,yes
Had a great time with engineers.,no
Had a great time with my new phone.,no
Can't wait for more of doctors.,yes
I am always excited for the meal.,no
I genuinely love vegetarians.,no
the concert are truly inspiring.,no
Can't wait for more of the conference.,yes
Because artists really make everything better.,yes
I am always excited for doctors.,no
"Everyone loves vegetarians, right?",yes
Because engineers really make everything better.,yes
"Had a musicians, best experience ever. Not.",yes
the conference have always been great.,no
Can't wait for more of my new phone.,yes
"Had a this book, best experience ever. Not.",yes
"Had a vegetarians, best experience ever. Not.",yes
